Person,gFx,gFy,gFz,Label
2,0.1097,0.9963375,0.0351625,4
2,0.1089875,0.9813625,0.0450875,4
2,0.1163111111111111,0.9784777777777778,0.0443555555555555,4
2,0.104425,0.978925,0.0474375,4
2,0.102675,0.9789625,0.044975,4
2,0.11315,0.985425,0.0331875,4
2,0.1073875,0.9911,0.0374,4
2,0.097325,0.9872875,0.0549625,4
2,0.1036624999999999,0.9730625,0.0674,4
2,0.1136375,0.973075,0.0529375,4
2,0.1151625,0.9806,0.0333875,4
2,0.1138875,0.9811875,0.026725,4
2,0.1207625,0.981,0.0287875,4
2,0.1247625,0.98105,0.035075,4
2,0.1238875,0.9786875,0.0387375,4
2,0.116525,0.9779,0.0382625,4
2,0.1172375,0.9791875,0.0380375,4
2,0.1165,0.9873375,0.0337375,4
2,0.1125777777777777,0.985588888888889,0.0392333333333333,4
2,0.1159428571428571,0.9808285714285716,0.0429,4
2,0.1111333333333333,0.9803222222222224,0.0418444444444444,4
2,0.1088,0.983675,0.03925,4
2,0.116125,0.982425,0.04175,4
2,0.12125,0.981125,0.0440124999999999,4
2,0.1200625,0.982825,0.04235,4
2,0.1160875,0.98445,0.0431125,4
2,0.11365,0.9824125,0.04445,4
2,0.1087625,0.980275,0.047275,4
2,0.1081625,0.983525,0.0458,4
2,0.1242625,0.988275,0.038275,4
2,0.11995,0.981975,0.0507625,4
2,0.1098875,0.9717625,0.0572499999999999,4
2,0.11635,0.9750375,0.045925,4
2,0.121375,0.990725,0.0304,4
2,0.1062111111111111,0.9915444444444445,0.0362555555555555,4
2,0.1071625,0.978425,0.05275,4
2,0.1202125,0.9721875,0.055125,4
2,0.11825,0.9772875,0.0475374999999999,4
2,0.1164,0.98915,0.03745,4
2,0.11674,0.99176,0.04016,4
2,0.1168,0.9816272727272728,0.0450090909090909,4
2,0.1224,0.97535,0.0479,4
2,0.1220624999999999,0.981275,0.042575,4
2,0.124025,0.9858,0.043325,4
2,0.11835,0.98645,0.0433625,4
2,0.1109875,0.981575,0.0467874999999999,4
2,0.108875,0.97705,0.0513125,4
2,0.1150875,0.9798,0.0498749999999999,4
2,0.1193625,0.985125,0.0465125,4
2,0.1177125,0.982775,0.0460875,4
2,0.116925,0.979525,0.0489374999999999,4
2,0.11565,0.9805625,0.0491124999999999,4
2,0.1160777777777777,0.9827,0.0457444444444444,4
2,0.1138857142857142,0.9852142857142856,0.0463142857142857,4
2,0.1130666666666666,0.9829333333333332,0.0528555555555555,4
2,0.11415,0.9806375,0.0463625,4
2,0.1244625,0.9823875,0.0378375,4
2,0.1174375,0.97985,0.0495,4
2,0.1137857142857142,0.9734142857142858,0.0569428571428571,4
2,0.1228333333333333,0.9812222222222222,0.0447222222222222,4
