Person,gFx,gFy,gFz,Label
2,0.08745,0.9893375,-0.040925,5
2,0.080375,0.9824375,-0.0472,5
2,0.0806375,0.9749875,-0.0400375,5
2,0.0810875,0.9803625,-0.0300875,5
2,0.0856875,0.9854125,-0.02375,5
2,0.089775,0.977475,-0.0208375,5
2,0.0914875,0.977225,-0.02505,5
2,0.10035,0.982525,-0.0425625,5
2,0.1154875,0.9837625,-0.0598874999999999,5
2,0.1196125,0.9809375,-0.0591875,5
2,0.1098125,0.9774,-0.0478875,5
2,0.0947444444444444,0.9836333333333334,-0.0382222222222222,5
2,0.0901125,0.988325,-0.03175,5
2,0.093475,0.986675,-0.030375,5
2,0.1021499999999999,0.9844875,-0.0305124999999999,5
2,0.1082428571428571,0.9821,-0.0333857142857142,5
2,0.1112333333333333,0.9878333333333332,-0.0418222222222222,5
2,0.1086875,0.9918375,-0.0441125,5
2,0.0994375,0.9867875,-0.0502,5
2,0.0983125,0.9862875,-0.0490625,5
2,0.087225,0.9917375,-0.0394375,5
2,0.077775,0.9903625,-0.04515,5
2,0.0848625,0.9906375,-0.05375,5
2,0.0887,0.9886125,-0.0534,5
2,0.074225,0.9940875,-0.0478625,5
2,0.0864375,0.9825,-0.0389375,5
2,0.0992875,0.9742125,-0.0375875,5
2,0.096325,0.9820875,-0.044275,5
2,0.0977875,0.987725,-0.04775,5
2,0.0988555555555555,0.9881777777777776,-0.0504,5
2,0.1008,0.9818375,-0.0478625,5
2,0.1078142857142857,0.9797571428571428,-0.0549714285714285,5
2,0.1166444444444444,0.9873444444444446,-0.0639777777777777,5
2,0.11635,0.985025,-0.0536625,5
2,0.090975,0.9782875,-0.0391,5
2,0.0691625,0.9805375,-0.035725,5
2,0.066025,0.9897375,-0.055275,5
2,0.0823125,0.9951625,-0.070625,5
2,0.0935624999999999,0.9829125,-0.0517875,5
2,0.0954125,0.97555,-0.0414375,5
2,0.0955874999999999,0.9835625,-0.0424,5
2,0.1011249999999999,0.9922375,-0.0534875,5
2,0.0977375,0.987075,-0.0487999999999999,5
2,0.09055,0.9756875,-0.036225,5
2,0.0922333333333333,0.9780333333333334,-0.0379666666666666,5
2,0.1010875,0.986375,-0.047525,5
