Person,gFx,gFy,gFz,Label
2,-0.0148,1.0469875,0.0856375,1
2,0.0067625,1.090425,0.078975,1
2,0.0867749999999999,1.1259,0.0548875,1
2,0.1336444444444444,1.1364777777777777,0.0545888888888888,1
2,0.0204125,1.18655,0.175725,1
2,-0.1859375,1.4303625,0.1978,1
2,0.1167499999999999,1.600725,-0.0928124999999999,1
2,0.453775,1.255325,-0.3203749999999999,1
2,0.372875,0.9044,-0.2866125,1
2,0.2020375,0.7827999999999999,-0.265725,1
2,0.1133875,0.786125,-0.2347,1
2,0.0923124999999999,0.8383125,-0.194825,1
2,0.2562375,0.868975,-0.1611125,1
2,0.3694,0.94475,-0.146425,1
2,0.2914375,0.9975,-0.137925,1
2,0.1139375,0.9446375,-0.1505874999999999,1
2,-0.0066375,0.8708125,-0.1164999999999999,1
2,0.001475,0.8677875,-0.066675,1
2,0.0697875,0.903875,-0.0475125,1
2,0.0764571428571428,0.9264428571428572,-0.0461571428571428,1
2,-0.0107,0.91356,-0.03386,1
2,-0.0920625,0.848975,-0.0288,1
2,-0.1128625,0.8192125,-0.0333125,1
2,-0.0637125,0.8167625000000001,-0.0381625,1
2,-0.0069142857142857,0.8288,-0.0373142857142857,1
2,0.0061333333333333,0.8550666666666666,-0.0380666666666666,1
2,0.0767875,0.883925,-0.0510125,1
2,0.1669749999999999,0.902525,-0.06285,1
2,0.132575,0.9153875,-0.030325,1
2,0.080525,0.926975,-0.0217875,1
2,0.0197875,0.9505375,-0.0051625,1
2,-0.0880374999999999,1.041775,-0.011225,1
2,-0.1491625,1.2045,0.011425,1
2,-0.0382125,1.3657125,0.0579375,1
2,0.174925,1.3765125,0.095,1
2,0.2748375,1.3991,0.0917375,1
2,-0.0215125,1.474075,0.0432375,1
2,0.0190333333333333,1.2250555555555556,-0.2809,1
2,0.3658875,0.8245375,-0.340825,1
2,0.5469125,0.6956625,-0.162425,1
2,0.3171625,0.7997125,-0.0216125,1
2,-0.0813125,1.0005,-0.1006625,1
2,-0.0189625,1.1935375,-0.201625,1
2,0.2509375,1.2367375,-0.2142375,1
2,0.31005,1.0566666666666666,-0.1114,1
2,0.14803,0.8446199999999999,-0.0052499999999999,1
2,0.021225,0.74865,0.0106375,1
2,0.1067625,0.7571875,-0.0381,1
2,0.1385124999999999,0.7184,-0.0318625,1
2,0.056925,0.69945,-0.0005625,1
2,0.0610125,0.6889125,0.022975,1
2,0.1357875,0.6753750000000001,0.0322875,1
2,0.2132875,0.7367875,0.0235,1
2,0.206475,0.872475,0.0065249999999999,1
2,0.1258,1.0290777777777778,0.0420111111111111,1
2,0.0389749999999999,1.100125,0.087975,1
2,0.0284875,1.0730875,0.124425,1
2,-0.0303,1.0711125,0.172625,1
2,-0.1296625,1.156475,0.1468625,1
2,-0.00985,1.250025,0.078525,1
2,0.218625,1.2616125,0.0685875,1
2,0.1806,1.1934875,0.2059375,1
2,-0.2168875,1.2776875,0.2546125,1
2,-0.0022125,1.6587875,-0.26295,1
2,0.6158857142857143,1.3715142857142857,-0.537,1
2,0.4169,0.6651333333333334,-0.4076444444444445,1
2,-0.02985,0.4985625,-0.25685,1
2,0.0314,0.8423499999999999,-0.16525,1
2,0.31,1.138175,-0.1503749999999999,1
2,0.5539428571428572,1.2128714285714286,-0.1336,1
2,0.45486,1.17216,-0.14168,1
2,-0.031075,1.0025,-0.1084875,1
2,-0.1848625,0.8050875,-0.12315,1
2,0.0175624999999999,0.7068625,-0.08415,1
2,0.2198375,0.72755,-0.0610625,1
2,0.2214249999999999,0.8127625,-0.0929625,1
