gFx,gFy,gFz
0.10828,0.9785600000000001,0.03812
0.094275,0.9985125,0.0570875
0.1266875,1.02465,0.0590125
0.1409625,1.0491125000000001,0.0891875
0.116175,1.0598375,0.0927375
0.09705,1.02745,0.076175
0.0874,0.99095,0.07416249999999999
0.1563625,0.9855875000000001,0.0736375
0.1736,0.9635375,0.0423125
0.1518625,0.8782375,0.0885
0.1773375,0.786825,0.151475
0.1601875,0.7742375,0.1438625
0.12201111111111113,0.8289,0.09971111111111111
0.0943375,0.842825,0.0569375
0.1245375,0.8448249999999999,0.0436
0.12976000000000001,0.87094,0.07564
0.08386363636363636,0.9013181818181818,0.1241909090909091
0.013112500000000001,0.8856,0.1285125
-0.0081,0.864975,0.11405
0.00515,0.8767125,0.0986125
0.0537375,0.9211875,0.0972625
0.109375,0.9610625,0.11305
0.08135,0.955875,0.16197499999999998
-0.0087875,0.9271875,0.185075
-0.06885555555555556,0.8928777777777778,0.13743333333333332
-0.014685714285714286,0.8739142857142858,0.07575714285714286
0.06704444444444443,0.8858,0.06786666666666667
0.078425,0.9022125,0.0914625
0.06408571428571429,0.9281857142857143,0.09278571428571428
0.02518888888888889,0.978388888888889,0.0719888888888889
-0.022224999999999998,1.047425,0.01865
0.08806249999999999,1.1232875,-0.0707625
0.238375,1.1321125,-0.0939875
0.08697142857142857,1.1714285714285713,0.00692857142857143
-0.19305555555555556,1.4377222222222223,-0.0114
-0.1333375,1.6065125,-0.371575
0.17146250000000002,1.3483625,-0.4206875
0.3013625,0.9831375,-0.096775
0.2909875,0.8993,0.2144375
0.1514875,0.9863124999999999,0.2660375
-0.0890625,1.024575,0.1192
-0.20350000000000001,1.0139125,-0.0133375
-0.1229625,1.0126125,-0.0907625
0.0264625,1.0057875,-0.10865
0.12706666666666666,0.975988888888889,-0.033299999999999996
0.1053,0.9396375,0.0283875
0.0121625,0.9051125,0.0208875
-0.07366249999999999,0.8914875,-0.010325
-0.11663333333333332,0.9179666666666666,-0.04371666666666666
-0.10164,0.9633900000000001,-0.07824
-0.0367875,0.9832625,-0.088475
0.028512500000000003,0.9687125,-0.0967625
0.064125,0.955475,-0.104875
0.0514625,0.9423874999999999,-0.1131125
0.0267625,0.90875,-0.11107500000000001
0.014225,0.8382,-0.0871625
0.0056,0.7872625,-0.0349625
-0.041625,0.8011,0.0064375000000000005
-0.07115714285714285,0.8663428571428572,0.01662857142857143
-0.06571111111111111,0.9595222222222222,-0.013944444444444445
-0.09492222222222223,1.0305111111111112,-0.0087
-0.0959,1.0246125,0.0040999999999999995
0.012524999999999998,0.96565,0.01175
0.09478333333333333,0.8798666666666667,0.03385
0.01658,0.79677,0.09397
-0.10475,0.809975,0.10945
-0.0478875,0.837075,0.031275
0.0712875,0.7502125,-0.0263875
0.0732375,0.6267125,0.0021625
-0.050825,0.5820125,0.023075
-0.084575,0.6780875,-0.037275
0.0260125,0.9419,-0.0539375
0.2788125,1.2074,-0.0246625
0.41147500000000004,1.3014375,-0.046
0.2807875,1.266675,-0.08133750000000001
0.18435,1.21625,-0.251875
0.26984444444444444,1.3240666666666667,-0.3451444444444445
0.24215,1.56825,-0.2016375
0.19388571428571427,1.6723428571428571,-0.10021428571428571
0.22089999999999999,1.5144666666666666,-0.0672
0.09256249999999999,1.197475,0.0056375
-0.1416,1.0097625,0.049625
-0.1846625,0.9623125,0.0536625
-0.07255,0.951775,0.09
0.0165125,0.9169,0.1071875
0.050374999999999996,0.8512500000000001,0.081875
0.054,0.8144125,0.0402125
0.0689375,0.8405125,-0.0118125
0.1232625,0.8867,-0.0296125
0.16715,0.9066125,-0.0159125
0.190525,0.8842375,0.00027499999999999985
0.1799875,0.8389125000000001,0.017025
0.14055,0.8165374999999999,-0.00455
0.08378571428571428,0.8334857142857144,0.010185714285714286
0.0012222222222222226,0.8453222222222222,0.045455555555555555
-0.007555555555555556,0.8173555555555556,0.0555
0.05205,0.769525,0.036275
0.0943625,0.7471875,0.032175
0.05915,0.8026,0.05051666666666666
0.02225,0.92207,0.051759999999999994
0.0126625,0.9724125,0.0578125
0.0604,0.9343375,0.0233125
0.151775,0.92085,0.028837500000000002
0.14204285714285714,0.9248428571428572,0.08605714285714286
0.026655555555555557,0.9476,0.10437777777777778
-0.01495,1.0262625,0.0477125
0.0370875,1.1624124999999998,-0.033737500000000004
0.1361625,1.308625,-0.1524
0.228575,1.3020625,-0.241625
0.2451125,1.1864625,-0.2251875
0.17187777777777777,1.0963444444444446,-0.1241
0.06481428571428571,0.9793714285714286,-0.02787142857142857
-0.041855555555555556,0.9850333333333333,-0.036088888888888886
0.020775,1.2057625,-0.2131
0.1625875,1.3375875,-0.3327625
0.17728750000000001,1.1985625,-0.247025
0.1210875,0.9913375,-0.0258
0.0445875,0.9607625,0.0506875
0.011275,1.0354125,-0.0667875
0.0073625,1.02655,-0.1621375
-0.0018,0.9745375000000001,-0.136375
0.0694,0.9481375,-0.1147125
0.15587499999999999,0.984875,-0.0789625
0.1590125,1.041675,-0.0805875
0.10965,1.026575,-0.0930625
0.056287500000000004,0.9739,-0.0665875
0.0094375,0.9788875,-0.0510375
-0.009525,0.9930625,-0.0638875
-0.015722222222222224,0.9708,-0.049711111111111116
-0.0115625,0.95295,-0.0319875
0.0185375,0.9844125,-0.063275
0.064825,0.9868875,-0.1032
0.1259,0.9778625,-0.0907125
0.14484285714285713,0.9655142857142857,-0.08038571428571428
0.09226666666666666,0.9221444444444445,-0.06467777777777778
-0.0006999999999999997,0.82735,-0.043525
0.0139125,0.747525,-0.0313625
0.0198125,0.8421875,-0.0360375
-0.01095,1.004375,-0.0994625
-0.06545000000000001,0.9971875,-0.1108375
-0.0659625,0.83085,-0.09633749999999999
0.08652499999999999,0.7457625,-0.0460125
0.0877625,0.8795999999999999,-0.0268375
-0.01928,1.01918,-0.0078
-0.08859166666666667,1.1017249999999998,-0.024666666666666667
-0.09392500000000001,1.058,-0.0398
-0.0584125,0.9801875,-0.04185
-0.0822625,0.9277375,-0.025925
-0.065675,0.90845,-0.0003250000000000002
0.07285,0.898975,0.0178875
0.106,0.83255,0.0231
0.120675,0.7354,-0.0087625
0.1758875,0.673825,-0.0068249999999999995
0.10676000000000001,0.66496,0.04118
0.007772727272727273,0.7688909090909092,-0.0006272727272727276
0.0327375,1.0244625,-0.077675
0.273025,1.1809,-0.218875
0.409925,1.1749,-0.218475
0.3500875,1.0558375,-0.1919625
0.1877625,0.9386875,-0.2224875
0.0810375,1.02785,-0.2492625
0.2293625,1.3562,-0.2424875
0.3466,1.7702875,-0.0963
0.4176166666666667,1.7361833333333332,-0.0007666666666666672
0.2483090909090909,1.287909090909091,0.0326909090909091
-0.1752625,0.9924499999999999,0.0189125
-0.313475,1.0036375,-0.09865
-0.147825,1.070325,-0.1428875
0.07013749999999999,1.0446375,-0.0708875
0.1682375,0.904275,-0.0480125
0.135525,0.8147875,-0.0364375
0.058525,0.8056375,-0.048325
0.0362875,0.84765,-0.056
0.0888,0.8857999999999999,-0.04474285714285715
0.1469888888888889,0.9153888888888889,-0.011077777777777777
0.20852500000000002,0.9388,-0.0150875
0.22016249999999998,0.9740624999999999,-0.0577375
0.10316249999999999,0.951975,-0.0144
0.004225,0.875325,0.0322
-0.004388888888888889,0.8038222222222222,0.004755555555555556
0.0214125,0.8093875,0.019737499999999998
0.0672875,0.8315125,0.06998750000000001
0.0538125,0.862775,0.0935875
-0.006442857142857143,0.8593285714285714,0.07837142857142856
-0.08152222222222222,0.8079444444444444,0.05739999999999999
-0.1073375,0.8334875,0.0354625
0.0065249999999999996,0.9569875,-0.0054625
0.1448375,1.0099625,-0.014775
0.16266666666666665,0.9833333333333334,0.02513333333333333
